"","V1"
"dead",0.00227396662667685
"home",0.0231813720143963
"study",0.319805867597339
"missing",0.654738793761588
"dead1",0.0149743701603228
"home1",0.0729686988766496
"study1",0.101270585669102
"missing1",0.810786345293925
"dead2",0.0282037299596466
"home2",0.119724070236667
"study2",0.068917002944705
"missing2",0.783155196858981
"dead3",0.0440669647726033
"home3",0.165656014832588
"study3",0.0474533755044171
"missing3",0.742823644890392
"dead4",0.0609444868578907
"home4",0.210590031628313
"study4",0.0119369615007089
"missing4",0.716528520013088
"dead5",0.0769931290217036
"home5",0.253304613371142
"study5",0.00555676736830625
"missing5",0.664145490238848
"dead6",0.088013960082888
"home6",0.287615879594285
"study6",0.0290925946122805
"missing6",0.595277565710546
"dead7",0.103839022794198
"home7",0.326894972188897
"study7",0.0185843603446395
"missing7",0.550681644672265
"dead8",0.119887664958011
"home8",0.363087577707493
"study8",0.00701276038826481
"missing8",0.510011996946232
"dead9",0.131410186497982
"home9",0.391902061293489
"study9",0.00689824408332424
"missing9",0.469789508125204
"dead10",0.138341149525575
"home10",0.411397098920275
"study10",0.0169647726033373
"missing10",0.433296978950813
"dead11",0.149356527429382
"home11",0.434409423055949
"study11",0.00992474642818192
"missing11",0.406309303086487
"dead12",0.159341258588723
"home12",0.454722434289454
"study12",0.00627658414221834
"missing12",0.379659722979605
"dead13",0.161718835205584
"home13",0.45365906860072
"study13",0.0379158032500818
"missing13",0.346706292943614
"dead14",0.174517395572036
"home14",0.48835750899771
"study14",0.00530592212891264
"missing14",0.331819173301341
